Time,Topic,Cluster,Count
2024-01-07,Sports_core1,Sports,120.1986856612045
2024-01-21,Sports_core1,Sports,155.78571043090906
2024-02-04,Sports_core1,Sports,157.30009156661785
2024-02-18,Sports_core1,Sports,124.2092119425632
2024-03-03,Sports_core1,Sports,90.06532249873312
2024-03-17,Sports_core1,Sports,91.26532906584279
2024-03-31,Sports_core1,Sports,127.83168512620294
2024-04-14,Sports_core1,Sports,163.3479900430387
2024-04-28,Sports_core1,Sports,164.05322639700356
2024-05-12,Sports_core1,Sports,131.01702401743444
2024-05-26,Sports_core1,Sports,97.17361677149746
2024-06-09,Sports_core1,Sports,98.37269194719433
2024-06-23,Sports_core1,Sports,134.49678490862638
2024-07-07,Sports_core1,Sports,169.47570405351442
2024-07-21,Sports_core1,Sports,170.75104901837238
2024-08-04,Sports_core1,Sports,137.7750849883037
2024-08-18,Sports_core1,Sports,104.15385140048872
2024-09-01,Sports_core1,Sports,105.88468278166059
2024-09-15,Sports_core1,Sports,141.2367903697915
2024-09-29,Sports_core1,Sports,176.8760946708434
2024-10-13,Sports_core1,Sports,179.22727565894616
2024-10-27,Sports_core1,Sports,145.1096894798054
2024-11-10,Sports_core1,Sports,111.78599513049768
2024-11-24,Sports_core1,Sports,112.389084574137
2024-12-08,Sports_core1,Sports,148.58224691018992
2024-12-22,Sports_core1,Sports,184.68538518726155
2025-01-05,Sports_core1,Sports,185.3806187204086
2025-01-19,Sports_core1,Sports,152.55027920733832
2025-02-02,Sports_core1,Sports,118.71872837265498
2025-02-16,Sports_core1,Sports,120.04230634870515
2025-03-02,Sports_core1,Sports,155.75931735510804
2025-03-16,Sports_core1,Sports,192.58192742518105
2025-03-30,Sports_core1,Sports,193.03561726148246
2025-04-13,Sports_core1,Sports,159.17691562841756
2025-04-27,Sports_core1,Sports,126.48800181346373
2025-05-11,Sports_core1,Sports,126.87064638863403
2025-05-25,Sports_core1,Sports,163.28354543800182
2025-06-08,Sports_core1,Sports,198.2571481018256
2025-06-22,Sports_core1,Sports,199.70974173181824
2025-07-06,Sports_core1,Sports,166.87874449434787
2024-01-07,Sports_core2,Sports,120.29538663199817
2024-01-21,Sports_core2,Sports,149.5528185599379
2024-02-04,Sports_core2,Sports,162.3537406870447
2024-02-18,Sports_core2,Sports,151.7638297692262
2024-03-03,Sports_core2,Sports,124.20859120385303
2024-03-17,Sports_core2,Sports,97.42779106918022
2024-03-31,Sports_core2,Sports,87.01574449161609
2024-04-14,Sports_core2,Sports,100.53857764302568
2024-04-28,Sports_core2,Sports,129.73744731582738
2024-05-12,Sports_core2,Sports,158.37905518531682
2024-05-26,Sports_core2,Sports,172.12963358775792
2024-06-09,Sports_core2,Sports,161.3302383352954
2024-06-23,Sports_core2,Sports,134.12923119987764
2024-07-07,Sports_core2,Sports,107.56039926807442
2024-07-21,Sports_core2,Sports,97.2123998089984
2024-08-04,Sports_core2,Sports,110.08824080018455
2024-08-18,Sports_core2,Sports,138.8643129907109
2024-09-01,Sports_core2,Sports,168.56058629712143
2024-09-15,Sports_core2,Sports,181.73250537256143
2024-09-29,Sports_core2,Sports,171.4744892983109
2024-10-13,Sports_core2,Sports,143.80833030486193
2024-10-27,Sports_core2,Sports,116.84146516187256
2024-11-10,Sports_core2,Sports,105.9574660103976
2024-11-24,Sports_core2,Sports,118.83724610290578
2024-12-08,Sports_core2,Sports,149.12501032895767
2024-12-22,Sports_core2,Sports,178.82676725889024
2025-01-05,Sports_core2,Sports,191.17119595136785
2025-01-19,Sports_core2,Sports,181.08568440661878
2025-02-02,Sports_core2,Sports,153.74465441001908
2025-02-16,Sports_core2,Sports,126.25768085069606
2025-03-02,Sports_core2,Sports,116.14455824220336
2025-03-16,Sports_core2,Sports,129.5309433791244
2025-03-30,Sports_core2,Sports,158.385669584356
2025-04-13,Sports_core2,Sports,188.5101287097875
2025-04-27,Sports_core2,Sports,199.7521019583641
2025-05-11,Sports_core2,Sports,190.61303224921204
2025-05-25,Sports_core2,Sports,163.23481882729533
2025-06-08,Sports_core2,Sports,135.99612581235175
2025-06-22,Sports_core2,Sports,125.63670431061419
2025-07-06,Sports_core2,Sports,137.72070118669768
2024-01-07,Sports_core3,Sports,119.912131244865
2024-01-21,Sports_core3,Sports,141.3428450286047
2024-02-04,Sports_core3,Sports,157.63217376927417
2024-02-18,Sports_core3,Sports,163.39269191269054
2024-03-03,Sports_core3,Sports,159.11761871022026
2024-03-17,Sports_core3,Sports,145.7992971825662
2024-03-31,Sports_core3,Sports,127.56616084708084
2024-04-14,Sports_core3,Sports,108.53150044386389
2024-04-28,Sports_core3,Sports,94.74707976711564
2024-05-12,Sports_core3,Sports,91.00530697324535
2024-05-26,Sports_core3,Sports,97.39781486836168
2024-06-09,Sports_core3,Sports,113.58745799621313
