Time,Topic,Cluster,Count
2024-01-01,football,sports,149
2024-01-01,basketball,sports,100
2024-01-01,tennis,sports,83
2024-01-01,soccer,sports,106
2024-01-01,nba,sports,120
2024-01-01,messi,sports,333
2024-01-01,ronaldo,sports,90
2024-01-01,olympics,sports,114
2024-01-01,championship,sports,43
2024-01-01,match,sports,172
2024-01-01,concert,music,74
2024-01-01,album,music,94
2024-01-01,song,music,209
2024-01-01,artist,music,209
2024-01-01,band,music,185
2024-01-01,taylor,music,252
2024-01-01,drake,music,152
2024-01-01,spotify,music,41
2024-01-01,festival,music,76
2024-01-01,grammy,music,122
2024-01-01,iphone,tech,243
2024-01-01,android,tech,209
2024-01-01,google,tech,137
2024-01-01,app,tech,78
2024-01-01,ai,tech,183
2024-01-01,microsoft,tech,224
2024-01-01,update,tech,122
2024-01-01,launch,tech,110
2024-01-01,startup,tech,180
2024-01-01,device,tech,75
2024-01-15,football,sports,47
2024-01-15,basketball,sports,44
2024-01-15,tennis,sports,143
2024-01-15,soccer,sports,215
2024-01-15,nba,sports,112
2024-01-15,messi,sports,97
2024-01-15,ronaldo,sports,169
2024-01-15,olympics,sports,142
2024-01-15,championship,sports,92
2024-01-15,match,sports,214
2024-01-15,concert,music,285
2024-01-15,album,music,159
2024-01-15,song,music,117
2024-01-15,artist,music,131
2024-01-15,band,music,222
2024-01-15,taylor,music,297
2024-01-15,drake,music,115
2024-01-15,spotify,music,140
2024-01-15,festival,music,172
2024-01-15,grammy,music,158
2024-01-15,iphone,tech,149
2024-01-15,android,tech,113
2024-01-15,google,tech,157
2024-01-15,app,tech,89
2024-01-15,ai,tech,122
2024-01-15,microsoft,tech,47
2024-01-15,update,tech,168
2024-01-15,launch,tech,163
2024-01-15,startup,tech,227
2024-01-15,device,tech,131
2024-01-29,football,sports,60
2024-01-29,basketball,sports,154
2024-01-29,tennis,sports,161
2024-01-29,soccer,sports,200
2024-01-29,nba,sports,174
2024-01-29,messi,sports,274
2024-01-29,ronaldo,sports,183
2024-01-29,olympics,sports,149
2024-01-29,championship,sports,154
2024-01-29,match,sports,161
2024-01-29,concert,music,165
2024-01-29,album,music,129
2024-01-29,song,music,169
2024-01-29,artist,music,155
2024-01-29,band,music,188
2024-01-29,taylor,music,320
2024-01-29,drake,music,117
2024-01-29,spotify,music,250
2024-01-29,festival,music,164
2024-01-29,grammy,music,96
2024-01-29,iphone,tech,246
2024-01-29,android,tech,157
2024-01-29,google,tech,121
2024-01-29,app,tech,196
2024-01-29,ai,tech,93
2024-01-29,microsoft,tech,133
2024-01-29,update,tech,190
2024-01-29,launch,tech,159
2024-01-29,startup,tech,58
2024-01-29,device,tech,165
2024-02-12,football,sports,204
2024-02-12,basketball,sports,142
2024-02-12,tennis,sports,71
2024-02-12,soccer,sports,160
2024-02-12,nba,sports,146
2024-02-12,messi,sports,265
2024-02-12,ronaldo,sports,119
2024-02-12,olympics,sports,48
2024-02-12,championship,sports,202
2024-02-12,match,sports,79
2024-02-12,concert,music,113
2024-02-12,album,music,125
2024-02-12,song,music,222
2024-02-12,artist,music,125
2024-02-12,band,music,128
2024-02-12,taylor,music,451
2024-02-12,drake,music,115
2024-02-12,spotify,music,230
2024-02-12,festival,music,141
2024-02-12,grammy,music,133
2024-02-12,iphone,tech,207
2024-02-12,android,tech,61
2024-02-12,google,tech,104
2024-02-12,app,tech,122
2024-02-12,ai,tech,163
2024-02-12,microsoft,tech,198
2024-02-12,update,tech,171
2024-02-12,launch,tech,125
2024-02-12,startup,tech,81
2024-02-12,device,tech,72
2024-02-26,football,sports,195
2024-02-26,basketball,sports,113
2024-02-26,tennis,sports,133
2024-02-26,soccer,sports,88
2024-02-26,nba,sports,51
2024-02-26,messi,sports,214
2024-02-26,ronaldo,sports,104
2024-02-26,olympics,sports,115
2024-02-26,championship,sports,313
2024-02-26,match,sports,224
2024-02-26,concert,music,128
2024-02-26,album,music,35
2024-02-26,song,music,298
2024-02-26,artist,music,165
2024-02-26,band,music,103
2024-02-26,taylor,music,279
2024-02-26,drake,music,143
2024-02-26,spotify,music,267
2024-02-26,festival,music,206
2024-02-26,grammy,music,163
2024-02-26,iphone,tech,505
2024-02-26,android,tech,33
2024-02-26,google,tech,180
2024-02-26,app,tech,231
2024-02-26,ai,tech,196
2024-02-26,microsoft,tech,277
2024-02-26,update,tech,159
2024-02-26,launch,tech,124
2024-02-26,startup,tech,171
2024-02-26,device,tech,137
2024-03-11,football,sports,31
2024-03-11,basketball,sports,137
2024-03-11,tennis,sports,126
2024-03-11,soccer,sports,174
2024-03-11,nba,sports,47
2024-03-11,messi,sports,551
2024-03-11,ronaldo,sports,224
2024-03-11,olympics,sports,140
2024-03-11,championship,sports,148
2024-03-11,match,sports,205
2024-03-11,concert,music,257
2024-03-11,album,music,236
2024-03-11,song,music,175
2024-03-11,artist,music,148
2024-03-11,band,music,226
2024-03-11,taylor,music,428
2024-03-11,drake,music,203
2024-03-11,spotify,music,91
2024-03-11,festival,music,322
2024-03-11,grammy,music,55
2024-03-11,iphone,tech,335
2024-03-11,android,tech,46
2024-03-11,google,tech,106
2024-03-11,app,tech,85
2024-03-11,ai,tech,315
2024-03-11,microsoft,tech,159
2024-03-11,update,tech,193
2024-03-11,launch,tech,285
2024-03-11,startup,tech,123
2024-03-11,device,tech,116
2024-03-25,football,sports,72
2024-03-25,basketball,sports,222
2024-03-25,tennis,sports,42
2024-03-25,soccer,sports,70
2024-03-25,nba,sports,185
2024-03-25,messi,sports,553
2024-03-25,ronaldo,sports,141
2024-03-25,olympics,sports,193
2024-03-25,championship,sports,225
2024-03-25,match,sports,149
2024-03-25,concert,music,78
2024-03-25,album,music,35
2024-03-25,song,music,181
2024-03-25,artist,music,70
2024-03-25,band,music,161
2024-03-25,taylor,music,589
2024-03-25,drake,music,135
2024-03-25,spotify,music,176
2024-03-25,festival,music,136
2024-03-25,grammy,music,238
2024-03-25,iphone,tech,329
2024-03-25,android,tech,152
2024-03-25,google,tech,195
2024-03-25,app,tech,106
2024-03-25,ai,tech,61
2024-03-25,microsoft,tech,207
2024-03-25,update,tech,185
2024-03-25,launch,tech,2
2024-03-25,startup,tech,185
2024-03-25,device,tech,53
2024-04-08,football,sports,116
2024-04-08,basketball,sports,59
2024-04-08,tennis,sports,50
2024-04-08,soccer,sports,120
2024-04-08,nba,sports,230
2024-04-08,messi,sports,692
2024-04-08,ronaldo,sports,142
2024-04-08,olympics,sports,162
2024-04-08,championship,sports,133
2024-04-08,match,sports,276
2024-04-08,concert,music,109
2024-04-08,album,music,169
2024-04-08,song,music,156
2024-04-08,artist,music,102
2024-04-08,band,music,131
2024-04-08,taylor,music,213
2024-04-08,drake,music,190
2024-04-08,spotify,music,301
2024-04-08,festival,music,244
2024-04-08,grammy,music,166
2024-04-08,iphone,tech,683
2024-04-08,android,tech,56
2024-04-08,google,tech,109
2024-04-08,app,tech,96
2024-04-08,ai,tech,171
2024-04-08,microsoft,tech,134
2024-04-08,update,tech,121
2024-04-08,launch,tech,200
2024-04-08,startup,tech,185
2024-04-08,device,tech,28
2024-04-22,football,sports,256
2024-04-22,basketball,sports,224
2024-04-22,tennis,sports,133
2024-04-22,soccer,sports,38
2024-04-22,nba,sports,234
2024-04-22,messi,sports,390
2024-04-22,ronaldo,sports,225
2024-04-22,olympics,sports,453
2024-04-22,championship,sports,298
2024-04-22,match,sports,194
2024-04-22,concert,music,103
2024-04-22,album,music,330
2024-04-22,song,music,138
2024-04-22,artist,music,144
2024-04-22,band,music,204
2024-04-22,taylor,music,319
2024-04-22,drake,music,108
2024-04-22,spotify,music,24
2024-04-22,festival,music,95
2024-04-22,grammy,music,74
2024-04-22,iphone,tech,226
2024-04-22,android,tech,101
2024-04-22,google,tech,268
2024-04-22,app,tech,239
2024-04-22,ai,tech,197
2024-04-22,microsoft,tech,186
2024-04-22,update,tech,158
2024-04-22,launch,tech,189
2024-04-22,startup,tech,202
2024-04-22,device,tech,82
2024-05-06,football,sports,335
2024-05-06,basketball,sports,239
2024-05-06,tennis,sports,278
2024-05-06,soccer,sports,143
2024-05-06,nba,sports,215
2024-05-06,messi,sports,451
2024-05-06,ronaldo,sports,344
2024-05-06,olympics,sports,129
2024-05-06,championship,sports,232
2024-05-06,match,sports,87
2024-05-06,concert,music,104
2024-05-06,album,music,141
2024-05-06,song,music,99
2024-05-06,artist,music,376
2024-05-06,band,music,201
2024-05-06,taylor,music,466
2024-05-06,drake,music,370
2024-05-06,spotify,music,304
2024-05-06,festival,music,36
2024-05-06,grammy,music,170
2024-05-06,iphone,tech,590
2024-05-06,android,tech,93
2024-05-06,google,tech,138
2024-05-06,app,tech,283
2024-05-06,ai,tech,77
2024-05-06,microsoft,tech,239
2024-05-06,update,tech,250
2024-05-06,launch,tech,371
2024-05-06,startup,tech,158
2024-05-06,device,tech,182
2024-05-20,football,sports,225
2024-05-20,basketball,sports,146
2024-05-20,tennis,sports,165
2024-05-20,soccer,sports,268
2024-05-20,nba,sports,266
2024-05-20,messi,sports,491
2024-05-20,ronaldo,sports,138
2024-05-20,olympics,sports,155
2024-05-20,championship,sports,144
2024-05-20,match,sports,80
2024-05-20,concert,music,113
2024-05-20,album,music,218
2024-05-20,song,music,210
2024-05-20,artist,music,202
2024-05-20,band,music,230
2024-05-20,taylor,music,280
2024-05-20,drake,music,114
2024-05-20,spotify,music,129
2024-05-20,festival,music,329
2024-05-20,grammy,music,189
2024-05-20,iphone,tech,517
2024-05-20,android,tech,239
2024-05-20,google,tech,221
2024-05-20,app,tech,161
2024-05-20,ai,tech,126
2024-05-20,microsoft,tech,240
2024-05-20,update,tech,120
2024-05-20,launch,tech,210
2024-05-20,startup,tech,85
2024-05-20,device,tech,234
2024-06-03,football,sports,249
2024-06-03,basketball,sports,184
2024-06-03,tennis,sports,232
2024-06-03,soccer,sports,52
2024-06-03,nba,sports,158
2024-06-03,messi,sports,510
2024-06-03,ronaldo,sports,282
2024-06-03,olympics,sports,200
2024-06-03,championship,sports,57
2024-06-03,match,sports,323
2024-06-03,concert,music,298
2024-06-03,album,music,283
2024-06-03,song,music,203
2024-06-03,artist,music,385
2024-06-03,band,music,293
2024-06-03,taylor,music,765
2024-06-03,drake,music,175
2024-06-03,spotify,music,113
2024-06-03,festival,music,109
2024-06-03,grammy,music,155
2024-06-03,iphone,tech,247
2024-06-03,android,tech,181
2024-06-03,google,tech,285
2024-06-03,app,tech,360
2024-06-03,ai,tech,9
2024-06-03,microsoft,tech,382
2024-06-03,update,tech,203
2024-06-03,launch,tech,143
2024-06-03,startup,tech,169
2024-06-03,device,tech,197
2024-06-17,football,sports,352
2024-06-17,basketball,sports,235
2024-06-17,tennis,sports,144
2024-06-17,soccer,sports,172
2024-06-17,nba,sports,238
2024-06-17,messi,sports,338
2024-06-17,ronaldo,sports,82
2024-06-17,olympics,sports,180
2024-06-17,championship,sports,43
2024-06-17,match,sports,232
2024-06-17,concert,music,297
2024-06-17,album,music,236
2024-06-17,song,music,143
2024-06-17,artist,music,105
2024-06-17,band,music,271
2024-06-17,taylor,music,724
2024-06-17,drake,music,118
2024-06-17,spotify,music,390
2024-06-17,festival,music,180
2024-06-17,grammy,music,73
2024-06-17,iphone,tech,209
2024-06-17,android,tech,337
2024-06-17,google,tech,163
2024-06-17,app,tech,410
2024-06-17,ai,tech,140
2024-06-17,microsoft,tech,132
2024-06-17,update,tech,85
2024-06-17,launch,tech,121
2024-06-17,startup,tech,79
2024-06-17,device,tech,52
2024-07-01,football,sports,352
2024-07-01,basketball,sports,190
2024-07-01,tennis,sports,53
2024-07-01,soccer,sports,52
2024-07-01,nba,sports,154
2024-07-01,messi,sports,717
2024-07-01,ronaldo,sports,111
2024-07-01,olympics,sports,184
2024-07-01,championship,sports,96
2024-07-01,match,sports,276
2024-07-01,concert,music,236
2024-07-01,album,music,323
2024-07-01,song,music,407
2024-07-01,artist,music,90
2024-07-01,band,music,171
2024-07-01,taylor,music,135
2024-07-01,drake,music,40
2024-07-01,spotify,music,65
2024-07-01,festival,music,105
2024-07-01,grammy,music,263
2024-07-01,iphone,tech,321
2024-07-01,android,tech,265
2024-07-01,google,tech,170
2024-07-01,app,tech,144
2024-07-01,ai,tech,186
2024-07-01,microsoft,tech,140
2024-07-01,update,tech,368
2024-07-01,launch,tech,294
2024-07-01,startup,tech,81
2024-07-01,device,tech,0
2024-07-15,football,sports,99
2024-07-15,basketball,sports,182
2024-07-15,tennis,sports,274
2024-07-15,soccer,sports,277
2024-07-15,nba,sports,109
2024-07-15,messi,sports,231
2024-07-15,ronaldo,sports,374
2024-07-15,olympics,sports,302
2024-07-15,championship,sports,270
2024-07-15,match,sports,210
2024-07-15,concert,music,199
2024-07-15,album,music,181
2024-07-15,song,music,77
